Kepler_ID,Teff,kepmag,Log_G
757239,5733,16.778,4.225
757294,5817,16.989,4.209
757394,5864,16.961,4.240
891968,5721,14.690,4.274
892130,5919,16.656,4.309
892167,5666,16.285,4.761
892214,5896,16.285,4.366
892270,5925,16.535,4.547
892281,5739,16.631,4.634
892481,5750,16.592,4.298
892562,5839,16.900,4.492
892687,5834,16.282,4.537
892691,5867,15.546,4.204
892702,5706,16.452,4.433
892777,5813,16.735,4.604
892977,5861,13.759,4.326
893004,5921,13.957,4.498
893019,5810,16.336,4.813
893051,5805,16.995,4.452
893267,5863,16.998,4.396
893268,5801,16.630,4.401
893374,5665,15.978,4.546
893505,5802,14.248,4.573
1025765,5782,16.928,4.481
1025824,5723,14.496,4.211
1026032,5715,14.813,4.819
1026041,5884,16.983,4.229
1026150,5685,16.772,4.201
1026192,5790,16.615,4.385
1026208,5890,16.600,4.220
1026288,5817,16.655,4.355
1026400,5915,15.350,4.719
1026421,5816,16.746,4.530
1026450,5842,16.994,4.267
1026688,5671,16.564,4.316
1026801,5717,16.102,4.237
1027000,5670,16.819,4.371
1027111,5864,16.827,4.579
1027126,5895,16.444,4.497
1027145,5659,16.641,4.378
1027158,5884,16.849,4.616
1027160,5885,16.723,4.558
1027430,5661,16.706,4.487
1027497,5685,16.379,4.322
1027540,5649,16.920,4.429
1027619,5634,16.963,4.601
1027665,5733,16.278,4.692
1027797,5801,16.189,4.217
1027800,5696,16.951,4.560
1028087,5760,16.985,4.271
1028098,5672,16.548,4.411
1028201,5672,15.323,4.619
1028463,5913,16.443,4.201
1028619,5890,16.414,4.201
1160985,5759,16.546,4.201
1161358,5800,16.599,4.441
1161383,5866,16.996,4.400
1161480,5857,16.097,4.202
1161534,5922,16.468,4.264
1161577,5858,16.943,4.267
1161685,5831,16.963,4.344
1161718,5855,16.211,4.532
1161720,5802,16.975,4.315
1161770,5903,16.266,4.590
1161811,5780,16.849,4.314
1161878,5845,16.216,4.255
1161885,5814,16.439,4.285
1161896,5871,16.921,4.397
1162209,5758,16.683,4.415
1162282,5757,16.975,4.628
1162302,5786,16.896,4.261
1162336,5768,16.690,4.363
1162398,5698,16.335,4.296
1162451,5782,16.301,4.238
1162458,5684,16.989,4.629
1162488,5784,15.669,4.305
1162521,5757,16.455,4.819
1162543,5794,16.780,4.407
1162674,5681,16.771,4.462
1162709,5755,16.906,4.678
1162854,5722,16.781,4.571
1162875,5928,14.810,4.606
1162921,5816,16.909,4.444
1162931,5818,16.320,4.461
1163089,5783,16.552,4.808
1163164,5686,16.165,4.205
1163237,5805,16.016,4.645
1163238,5845,15.211,4.516
1163379,5820,16.592,4.260
1163833,5755,16.590,4.286
1163840,5785,16.887,4.476
1163884,5686,16.268,4.233
1163895,5651,16.074,4.218
1163905,5795,16.882,4.336
1163963,5762,16.959,4.311
1164211,5711,16.844,4.701
1164308,5648,16.929,4.409
1164349,5882,16.739,4.393
1164454,5835,16.687,4.252
1164496,5669,16.729,4.358
1164623,5665,16.648,4.589
1291938,5642,16.964,4.561
1293205,5831,16.864,4.385
1293397,5811,16.190,4.566
1293412,5763,16.133,4.708
1293440,5666,16.077,4.206
1293493,5656,16.777,4.500
1293626,5822,15.732,4.204
1293749,5792,15.934,4.291
1293962,5915,16.557,4.223
1294229,5891,14.166,4.641
1294236,5909,16.405,4.606
1294396,5645,16.338,4.221
1294440,5832,16.997,4.578
1294527,5636,16.662,4.307
1294557,5788,16.220,4.239
1294649,5725,14.442,4.375
1294685,5737,16.229,4.405
1294710,5876,16.012,4.494
1294902,5690,16.584,4.670
1294956,5846,15.861,4.577
1294997,5734,14.898,4.712
1295000,5777,16.978,4.601
1295010,5890,16.743,4.614
1295067,5716,16.449,4.586
1295135,5915,16.969,4.641
1295162,5689,15.982,4.674
1295340,5712,16.920,4.442
1295524,5734,16.905,4.582
1295564,5755,15.809,4.225
1295635,5649,16.597,5.057
1295668,5714,16.878,4.724
1295793,5741,16.923,4.360
1295822,5795,16.838,4.585
1295834,5857,16.871,4.286
1295987,5665,16.933,4.462
1296255,5828,15.112,4.489
1296261,5723,16.631,4.388
1296262,5820,13.286,4.692
1296399,5669,15.731,4.209
1296515,5819,16.973,4.485
1296541,5629,15.811,4.202
1296600,5662,16.116,4.298
1296673,5721,15.726,4.329
1296678,5717,16.392,4.386
1296683,5901,16.151,4.407
1296687,5640,15.521,4.315
1296721,5704,15.124,4.754
1296816,5909,16.417,4.389
1296847,5810,14.746,4.272
1297203,5673,16.209,4.605
1297226,5826,16.269,4.433
1297588,5675,16.790,4.686
1429171,5718,16.490,4.491
1429261,5922,14.872,4.365
1429275,5800,15.353,4.769
1429279,5651,15.900,4.485
1429337,5839,14.529,4.399
1429345,5646,14.820,4.428
1429385,5651,14.864,4.651
1429390,5803,14.623,4.688
1429407,5812,16.982,4.431
1429426,5711,15.169,4.788
1429429,5644,16.729,4.922
1429463,5648,16.803,4.370
1429501,5870,15.587,4.387
1429568,5848,16.741,4.471
1429666,5800,16.463,4.437
1429751,5727,14.443,4.420
1429767,5825,16.574,4.282
1429809,5860,16.473,4.538
1429860,5645,15.488,4.402
1429915,5704,16.869,4.462
1429966,5698,16.218,4.221
1429995,5826,16.895,4.322
1430045,5680,15.878,4.277
1430057,5881,16.938,4.401
1430068,5786,15.944,4.268
1430126,5644,16.982,4.649
1430219,5879,15.415,4.587
1430304,5674,16.594,4.370
1430343,5709,14.863,4.228
1430442,5644,16.483,4.445
1430496,5834,15.909,4.519
1430656,5721,15.416,4.430
1430759,5866,16.886,4.310
1430777,5909,16.564,4.401
1430782,5780,16.526,4.501
1431245,5679,16.553,4.954
1431344,5811,14.673,4.582
1431498,5757,16.413,4.579
1431521,5744,16.808,4.462
1431525,5887,16.197,4.605
1431629,5928,15.802,4.574
1431669,5767,16.476,4.366
1431688,5870,16.314,4.569
1431711,5737,16.975,4.537
1431742,5633,16.332,4.747
1431789,5860,16.604,4.636
1431830,5918,16.703,4.265
1431995,5847,16.041,4.553
1432214,5814,15.661,4.596
1432232,5685,16.839,4.326
1432248,5723,15.190,4.443
1432258,5910,15.964,4.515
1432263,5756,15.772,4.484
1432346,5920,16.932,4.366
1432347,5708,16.484,4.258
1432355,5907,16.681,4.347
1432589,5917,16.776,4.369
1432590,5800,16.933,4.297
1432614,5721,16.946,4.231
1432617,5769,16.531,4.527
1432681,5705,16.612,4.639
1432682,5712,16.469,4.321
1432695,5864,16.775,5.006
1432724,5845,16.841,4.535
1432767,5785,16.141,4.233
1432788,5790,16.141,4.716
1432789,5648,15.214,4.649
1432799,5786,16.733,4.496
1432842,5661,16.616,4.536
1432865,5732,14.781,4.712
1432907,5875,14.361,4.481
1433011,5632,16.836,5.106
1433017,5844,16.325,4.278
1433018,5718,16.356,4.357
1433063,5825,16.023,4.291
1433153,5840,16.083,4.460
1433179,5691,16.493,4.467
1433479,5711,16.294,4.520
1433498,5750,15.486,4.517
1433554,5660,16.716,4.354
1433610,5876,16.196,4.507
1433692,5793,16.053,4.579
1433742,5876,16.863,4.358
1433819,5744,16.127,4.375
1433828,5816,16.828,4.390
1433889,5851,16.674,4.371
1433898,5860,16.783,4.431
1433913,5917,16.018,4.301
1434084,5892,16.488,4.434
1434134,5879,16.044,4.373
1434311,5773,16.998,4.505
1434481,5834,16.993,4.426
1434706,5807,15.982,4.466
1434805,5879,16.836,4.517
1435122,5725,15.890,4.207
1435154,5686,16.700,4.633
1435173,5874,16.936,4.395
1435238,5884,16.772,4.750
1435351,5694,15.637,4.223
1435365,5907,15.879,4.224
1435472,5907,16.220,4.527
1435523,5716,16.569,4.603
1435564,5843,16.523,4.413
1435594,5708,16.741,4.565
1435610,5784,16.908,4.877
1435745,5829,16.478,4.210
1435754,5693,15.867,4.502
1435818,5885,15.835,4.680
1436132,5725,15.993,4.963
1569599,5802,15.918,4.701
1569761,5672,16.976,4.516
1569777,5697,15.899,4.485
1569784,5675,15.705,4.395
1569785,5926,16.697,4.541
1569800,5652,16.498,4.927
1569801,5882,16.865,4.373
1569807,5870,16.728,4.239
1569832,5666,15.009,4.334
1569843,5906,14.409,4.451
